inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u0/u14_u4_g2282,AOI332xp33_ASAP7_75t_SL,189.72,151.056,43.08,,
u1/g16873,INVx1_ASAP7_75t_SL,274.824,255.816,43.07,47.62,4.55
u1/L4_reg\[17\],,,,43.07,47.32,4.25
u1/R5_reg\[31\],,,,43.07,47.44,4.37
u1/R3_reg\[8\],,,,43.07,47.0,3.93
u1/g15553,NOR2xp33_ASAP7_75t_SL,118.656,156.456,43.07,42.14,-0.93
u1/u5_u0_g2065,AOI22xp5_ASAP7_75t_SL,114.12,260.136,43.07,47.59,4.52
u0/u14_u2_g1990,AO21x1_ASAP7_75t_SL,169.416,139.176,43.07,41.91,-1.16
u1/FE_PHC3318_uk_K_r11_29,HB2xp67_ASAP7_75t_SL,230.112,306.576,43.07,47.87,4.8
u1/g30024,OAI33xp33_ASAP7_75t_SL,243.072,219.096,43.07,47.57,4.5
u1/g15906,XOR2xp5_ASAP7_75t_SL,257.976,247.176,43.07,47.26,4.19
u1/g15579,NOR2xp33_ASAP7_75t_SL,114.336,160.776,43.07,42.4,-0.67
u0/g28776,XNOR2xp5_ASAP7_75t_SL,173.52,146.736,43.07,42.51,-0.56
u1/uk_K_r12_reg\[7\],,,,43.07,47.83,4.76
u1/FE_PHC118_stage1_out_34,HB4xp67_ASAP7_75t_L,168.12,186.696,43.07,44.78,1.71
u2/u2_u2_g2019,INVx1_ASAP7_75t_SL,368.352,322.776,43.07,,
u2/uk_K_r0_reg\[2\],,,,43.07,40.39,-2.68
u1/g16924,AOI22xp5_ASAP7_75t_SL,233.136,219.096,43.07,47.13,4.06
u1/g15414,XNOR2xp5_ASAP7_75t_SL,137.88,162.936,43.07,44.36,1.29
u1/FE_PHC7343_uk_K_r10_54,HB1xp67_ASAP7_75t_L,227.088,226.656,43.07,47.83,4.76
u1/u9_u0_g2056,OAI333xp33_ASAP7_75t_SL,184.536,203.976,43.07,47.33,4.26
u1/g29072,AOI22xp5_ASAP7_75t_SL,144.576,293.616,43.07,46.83,3.76
u0/u14_u2_g2035,NAND2xp5_ASAP7_75t_SL,170.928,137.016,43.07,,
u0/g18565,AOI22xp5_ASAP7_75t_SL,193.392,143.496,43.07,,
u1/u5_u0_g2096,NOR2xp33_ASAP7_75t_SL,113.904,262.296,43.07,47.19,4.12
u1/uk_K_r11_reg\[40\],,,,43.07,47.63,4.56
u1/L5_reg\[30\],,,,43.07,47.39,4.32
u0/u14_u2_g2048,NAND2xp5_ASAP7_75t_SL,168.552,139.176,43.07,,
u2/uk_K_r3_reg\[4\],,,,43.07,36.48,-6.59
u1/g18107,NAND2xp5_ASAP7_75t_SL,103.968,191.016,43.07,44.94,1.87
u1/u6_u4_g2322,INVx1_ASAP7_75t_SL,142.2,283.896,43.07,47.68,4.61
u0/u14_u0_g2064,NOR2xp33_ASAP7_75t_SL,157.104,139.176,43.07,42.33,-0.74
u2/FE_PHC7464_uk_K_r4_9,HB1xp67_ASAP7_75t_SL,307.008,247.176,43.06,,
u2/L4_reg\[29\],,,,43.06,41.1,-1.96
u1/g12296,NAND2xp5_ASAP7_75t_SL,172.656,202.896,43.06,46.77,3.71
u1/g29830,NAND2xp5_ASAP7_75t_SL,291.672,242.856,43.06,43.59,0.53
u1/L3_reg\[6\],,,,43.06,47.07,4.01
u2/u4_u4_g2291,NAND2xp5_ASAP7_75t_SL,334.224,261.216,43.06,,
u0/u14_u6_g1943,INVx1_ASAP7_75t_SL,199.44,178.056,43.06,,
u1/u3_u0_g2061,AOI22xp5_ASAP7_75t_SL,103.536,216.936,43.06,46.31,3.25
u1/g18067,OA21x2_ASAP7_75t_SL,105.264,212.616,43.06,44.01,0.95
u1/FE_PHC7215_L11_9,HB1xp67_ASAP7_75t_SL,239.184,216.936,43.06,47.59,4.53
u2/FE_PHC7683_uk_K_r4_0,HB1xp67_ASAP7_75t_SL,306.144,247.176,43.06,,
u2/FE_PHC5477_R2_8,HB1xp67_ASAP7_75t_SL,362.736,279.576,43.06,,
u1/g16783,AOI22xp5_ASAP7_75t_SL,269.64,250.416,43.06,46.46,3.4
u1/g30859,INVx1_ASAP7_75t_SL,108.288,241.776,43.06,47.47,4.41
u0/u13_u0_g2057,INVx1_ASAP7_75t_SL,187.344,138.096,43.06,,
u0/g28990,XNOR2xp5_ASAP7_75t_SL,190.8,139.176,43.06,,
u2/g16308,XOR2xp5_ASAP7_75t_SL,359.28,276.336,43.06,,
u1/g15514,AOI22xp5_ASAP7_75t_SL,115.632,157.536,43.06,42.17,-0.89
u1/g18016,XNOR2xp5_ASAP7_75t_SL,104.184,206.136,43.06,43.25,0.19
u2/g16200,AOI22xp5_ASAP7_75t_SL,343.296,267.696,43.06,,
u1/FE_PHC7942_n_964,HB1xp67_ASAP7_75t_SL,253.008,241.776,43.06,47.42,4.36
u1/FE_PHC8056_uk_K_r0_47,HB1xp67_ASAP7_75t_SL,110.448,169.416,43.06,43.28,0.22
u1/u4_u2_g2016,NAND2xp5_ASAP7_75t_SL,106.776,235.296,43.06,47.26,4.2
u1/u5_u4_g2333,NAND2xp5_ASAP7_75t_SL,116.064,269.856,43.06,46.59,3.53
u2/u4_u6_g1921,NAND2xp5_ASAP7_75t_SL,324.072,254.736,43.06,,
u1/uk_K_r1_reg\[41\],,,,43.06,44.27,1.21
u1/g16752,AOI22xp5_ASAP7_75t_SL,278.064,265.536,43.06,47.22,4.16
u1/g29838,XOR2xp5_ASAP7_75t_SL,290.808,240.696,43.06,43.58,0.52
u0/u14_u2_g1987,AOI311xp33_ASAP7_75t_SL,166.608,139.176,43.06,41.97,-1.09
u1/g28515,XNOR2xp5_ASAP7_75t_SL,217.584,294.696,43.06,47.5,4.44
u1/g29913,INVx1_ASAP7_75t_SL,287.568,245.016,43.06,43.54,0.48
u2/uk_K_r0_reg\[16\],,,,43.06,39.87,-3.19
