inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u2/L7_reg\[29\],,,,39.56,39.86,0.3
u2/g16426,AOI322xp5_ASAP7_75t_SL,342.0,247.176,39.56,,
u2/FE_PHC6698_uk_K_r6_37,HB2xp67_ASAP7_75t_SL,293.184,213.696,39.56,,
u2/u7_u6_g1931,INVx1_ASAP7_75t_SL,278.928,192.096,39.56,,
u0/u6_u5_g1884,OAI22xp5_ASAP7_75t_SL,150.84,99.216,39.56,,
u2/u5_u6_g1874,OAI221xp5_ASAP7_75t_SL,319.536,227.736,39.56,,
u1/u6_u5_g1926,NOR2xp33_ASAP7_75t_SL,120.168,307.656,39.56,43.64,4.08
u1/u1_u0_g2072,NAND2xp5_ASAP7_75t_SL,86.472,159.696,39.56,39.57,0.01
u0/u11_u0_g2055,NOR2xp33_ASAP7_75t_SL,220.824,98.136,39.56,,
u2/R7_reg\[27\],,,,39.56,25.95,-13.61
u1/u1_u6_g1940,INVx1_ASAP7_75t_SL,84.528,184.536,39.56,41.38,1.82
u2/g16872,AOI22xp5_ASAP7_75t_L,295.344,188.856,39.56,,
u0/g29636,NOR2xp33_ASAP7_75t_SL,166.176,90.576,39.56,,
u2/L5_reg\[27\],,,,39.56,37.65,-1.91
u2/u7_u5_g1915,NOR2xp33_ASAP7_75t_SL,276.984,194.256,39.56,,
u1/u7_u5_g1906,NAND3xp33_ASAP7_75t_SL,148.68,318.456,39.56,43.9,4.34
u1/u6_u5_g1932,NOR2xp33_ASAP7_75t_SL,119.736,311.976,39.56,43.11,3.55
u2/u6_u6_g1939,INVx1_ASAP7_75t_SL,300.528,213.696,39.56,,
u2/g17084,XNOR2xp5_ASAP7_75t_SL,284.112,201.816,39.56,,
u2/L7_reg\[22\],,,,39.56,39.28,-0.28
u2/g16548,NAND2xp5_ASAP7_75t_SL,345.672,249.336,39.56,,
u0/u11_u4_g2321,INVx1_ASAP7_75t_SL,230.328,118.656,39.56,,
u0/FE_PHC7994_uk_K_r10_48,HB1xp67_ASAP7_75t_SL,212.4,94.896,39.56,,
u0/g29703,NOR3xp33_ASAP7_75t_SL,213.696,107.856,39.56,,
u1/g30776,XNOR2xp5_ASAP7_75t_SL,101.808,300.096,39.56,43.84,4.28
u1/FE_PHC6798_L0_15,HB1xp67_ASAP7_75t_SL,92.952,145.656,39.56,39.81,0.25
u0/g16631,NAND2xp5_ASAP7_75t_SL,136.152,115.416,39.56,38.25,-1.31
u2/g16354,XNOR2xp5_ASAP7_75t_SL,362.304,260.136,39.56,,
u0/R10_reg\[14\],,,,39.56,23.72,-15.84
u1/u6_u5_g1916,NOR2xp33_ASAP7_75t_SL,116.28,309.816,39.55,43.09,3.54
u2/g16637,XNOR2xp5_ASAP7_75t_SL,360.792,259.056,39.55,,
u1/u1_u4_g2263,AO21x1_ASAP7_75t_SL,86.04,172.656,39.55,40.65,1.1
u1/u6_u5_g1909,NAND2xp5_ASAP7_75t_SL,118.44,306.576,39.55,43.67,4.12
u2/u7_u5_g1933,INVx1_ASAP7_75t_SL,277.416,198.576,39.55,,
u0/L12_reg\[25\],,,,39.55,36.69,-2.86
u0/FE_PHC7752_uk_K_r10_27,HB1xp67_ASAP7_75t_SL,208.728,90.576,39.55,,
u2/g16508,NAND2xp5_ASAP7_75t_SL,340.056,245.016,39.55,,
u1/g16362,INVx1_ASAP7_75t_SL,103.104,133.776,39.55,39.78,0.23
u2/u7_u5_g1851,AOI211xp5_ASAP7_75t_SL,269.856,196.416,39.55,,
u2/FE_PHC991_uk_K_r5_52,HB2xp67_ASAP7_75t_L,297.504,207.216,39.55,,
u0/u13_u7_g2119,OAI21xp5_ASAP7_75t_SL,231.408,182.376,39.55,,
u0/g29635,NOR2xp33_ASAP7_75t_SL,171.36,97.056,39.55,,
u1/u4_u6_g1939,INVx1_ASAP7_75t_SL,84.312,279.576,39.55,43.8,4.25
u0/u13_u7_g2184,NAND2xp5_ASAP7_75t_SL,233.352,184.536,39.55,,
u0/FE_PHC7634_uk_K_r10_39,HB1xp67_ASAP7_75t_SL,209.376,102.456,39.55,,
u1/FE_PHC8494_L12_13,HB1xp67_ASAP7_75t_SL,273.312,212.616,39.55,42.72,3.17
u0/g16662,OR2x2_ASAP7_75t_SL,132.048,118.656,39.55,38.95,-0.6
u2/u7_u6_g1882,AOI22xp5_ASAP7_75t_SL,291.24,194.256,39.55,,
u0/g16655,NOR2xp33_ASAP7_75t_SL,132.048,119.736,39.55,38.98,-0.57
u1/u7_u5_g1945,NOR2xp33_ASAP7_75t_SL,141.768,318.456,39.55,43.07,3.52
u2/g16610,AOI22xp5_ASAP7_75t_L,306.144,218.016,39.55,,
u0/FE_PHC1536_uk_K_r11_41,HB2xp67_ASAP7_75t_L,194.904,110.016,39.55,,
u0/u11_u4_g2311,AO21x1_ASAP7_75t_SL,236.16,108.936,39.55,,
u1/FE_PHC3230_uk_K_r0_52,HB1xp67_ASAP7_75t_L,77.616,198.576,39.54,41.22,1.68
u1/FE_PHC8689_R7_29,HB1xp67_ASAP7_75t_SL,164.664,315.216,39.54,41.56,2.02
u1/g15705,XNOR2xp5_ASAP7_75t_SL,93.384,164.016,39.54,40.93,1.39
u2/g11594,XNOR2xp5_ASAP7_75t_SL,277.848,181.296,39.54,,
u2/u5_u6_g1876,AOI33xp33_ASAP7_75t_SL,321.696,228.816,39.54,,
u2/u7_u5_g1875,OAI31xp33_ASAP7_75t_SL,269.208,189.936,39.54,,
u2/FE_PHC6953_R5_29,HB1xp67_ASAP7_75t_L,297.072,208.296,39.54,,
u0/uk_K_r11_reg\[44\],,,,39.54,34.69,-4.85
u0/u6_u5_g1870,O2A1O1Ixp33_ASAP7_75t_SL,154.944,95.976,39.54,,
u1/u11_u6_g1871,AOI221xp5_ASAP7_75t_SL,224.712,324.936,39.54,43.95,4.41
u0/u6_u5_g1850,AOI211xp5_ASAP7_75t_SL,161.424,93.816,39.54,,
u1/g28245,XNOR2xp5_ASAP7_75t_SL,261.648,348.696,39.54,40.79,1.25
u1/u7_u6_g1874,AO331x1_ASAP7_75t_SL,153.648,319.536,39.54,44.11,4.57
u0/FE_PHC4406_R11_21,HB1xp67_ASAP7_75t_SL,239.832,164.016,39.54,,
u1/u4_u6_g1925,INVx1_ASAP7_75t_SL,79.56,275.256,39.54,43.64,4.1
u1/u8_u7_g2526,NOR3xp33_ASAP7_75t_SL,174.6,320.616,39.54,44.09,4.55
u1/R0_reg\[19\],,,,39.54,40.11,0.57
u0/g28574,NAND2xp5_ASAP7_75t_SL,184.32,87.336,39.54,,
u0/g16653,NOR2xp33_ASAP7_75t_SL,135.072,116.496,39.54,38.49,-1.05
u2/FE_PHC5235_uk_K_r5_16,HB2xp67_ASAP7_75t_SL,300.744,214.776,39.54,,
u0/g29572,OA21x2_ASAP7_75t_SL,174.384,90.576,39.54,,
u1/g18298,XNOR2xp5_ASAP7_75t_SL,76.32,243.936,39.54,41.86,2.32
u2/g16189,INVx1_ASAP7_75t_SL,376.344,275.256,39.54,,
u0/u14_u5_g1908,INVx1_ASAP7_75t_SL,220.608,180.216,39.54,,
u2/FE_PHC4556_uk_K_r6_42,HB3xp67_ASAP7_75t_SL,285.624,184.536,39.54,,
u1/g30392,INVx1_ASAP7_75t_SL,228.384,189.936,39.54,43.44,3.9
u1/g29887,INVx1_ASAP7_75t_SL,291.024,235.296,39.54,42.03,2.49
u0/u12_u4_g2269,AOI332xp33_ASAP7_75t_SL,233.568,127.296,39.54,,
u1/uk_K_r0_reg\[43\],,,,39.54,41.86,2.32
u2/g11584,XNOR2xp5_ASAP7_75t_SL,286.92,172.656,39.54,,
u2/u0_u5_g1908,NAND2xp5_ASAP7_75t_SL,274.608,368.136,39.54,37.69,-1.85
u2/uk_K_r7_reg\[1\],,,,39.54,38.45,-1.09
u1/u6_u7_g2515,OAI211xp5_ASAP7_75t_SL,132.696,317.376,39.54,43.59,4.05
u1/g11101,XNOR2xp5_ASAP7_75t_SL,206.568,322.776,39.54,44.06,4.52
u2/u4_u2_g2020,NOR2xp33_ASAP7_75t_SL,364.032,259.056,39.53,,
u1/u1_u0_g2034,OAI321xp33_ASAP7_75t_SL,86.256,157.536,39.53,39.23,-0.3
u0/u5_u6_g1892,XOR2xp5_ASAP7_75t_SL,147.6,101.376,39.53,,
u0/g16494,AOI221xp5_ASAP7_75t_SL,138.744,110.016,39.53,37.24,-2.29
u1/u6_u5_g1868,OAI221xp5_ASAP7_75t_SL,113.256,304.416,39.53,43.86,4.33
u2/u7_u6_g1898,OA22x2_ASAP7_75t_SL,277.632,193.176,39.53,,
u2/u7_u5_g1867,OAI32xp33_ASAP7_75t_SL,273.096,192.096,39.53,,
u2/FE_PHC8692_uk_K_r5_35,HB1xp67_ASAP7_75t_SL,303.12,215.856,39.53,,
u2/u7_u6_g1884,AO222x2_ASAP7_75t_SL,280.872,194.256,39.53,,
u0/g14752,OA222x2_ASAP7_75t_SL,182.808,89.496,39.53,,
u1/R0_reg\[29\],,,,39.53,40.38,0.85
u2/g16822,XNOR2xp5_ASAP7_75t_SL,297.936,188.856,39.53,,
u1/u4_u6_g1900,OAI22xp5_ASAP7_75t_SL,84.096,281.736,39.53,43.75,4.22
u1/FE_PHC281_stage1_out_36,HB4xp67_ASAP7_75t_SL,122.112,128.376,39.53,39.42,-0.11
u2/u4_u2_g2023,NAND2xp5_ASAP7_75t_SL,361.224,257.976,39.53,,
u0/g14654,XOR2xp5_ASAP7_75t_SL,182.592,101.376,39.53,,
key_c_r_reg\[22\]\[17\],,,,39.53,43.45,3.92
u2/FE_PHC957_uk_K_r6_14,HB2xp67_ASAP7_75t_L,294.264,188.856,39.53,,
u0/u12_u0_g2077,INVx1_ASAP7_75t_SL,222.768,125.136,39.53,,
u0/u13_u6_g1879,OAI211xp5_ASAP7_75t_SL,234.432,172.656,39.53,,
u1/u8_u4_g2318,NOR2xp33_ASAP7_75t_SL,186.264,317.376,39.53,43.52,3.99
u0/u13_u7_g2123,AOI221xp5_ASAP7_75t_SL,232.056,178.056,39.53,,
u1/uk_K_r1_reg\[42\],,,,39.53,41.75,2.22
u1/u3_u6_g1885,AOI22xp5_ASAP7_75t_SL,76.968,255.816,39.52,43.71,4.19
u2/u5_u6_g1885,AOI22xp5_ASAP7_75t_SL,323.424,230.976,39.52,,
u1/u11_u5_g1901,OAI31xp33_ASAP7_75t_SL,215.856,323.856,39.52,43.98,4.46
u0/u13_u7_g2129,O2A1O1Ixp33_ASAP7_75t_SL,229.248,186.696,39.52,,
u0/g29752,NOR2xp33_ASAP7_75t_SL,185.4,87.336,39.52,,
u0/FE_PHC5408_L10_18,HB1xp67_ASAP7_75t_SL,209.592,90.576,39.52,,
u1/u6_u7_g2565,NOR2xp33_ASAP7_75t_SL,136.152,314.136,39.52,44.08,4.56
u1/u12_u0_g2019,OR2x2_ASAP7_75t_SL,252.576,199.656,39.52,43.64,4.12
u0/g14721,OAI221xp5_ASAP7_75t_SL,185.616,89.496,39.52,,
u0/g18709,INVx1_ASAP7_75t_SL,162.288,108.936,39.52,,
u2/g15345,AOI22xp5_ASAP7_75t_SL,356.256,256.896,39.52,,
u0/uk_K_r12_reg\[51\],,,,39.52,37.76,-1.76
u1/uk_K_r4_reg\[42\],,,,39.52,43.97,4.45
u2/uk_K_r6_reg\[45\],,,,39.52,36.96,-2.56
u0/uk_K_r10_reg\[25\],,,,39.52,31.92,-7.6
u2/uk_K_r5_reg\[7\],,,,39.52,37.48,-2.04
u1/FE_PHC2785_stage1_out_2,HB4xp67_ASAP7_75t_SL,143.064,152.136,39.52,43.2,3.68
u1/u4_u6_g1898,AOI22xp5_ASAP7_75t_SL,82.584,277.416,39.52,43.84,4.32
u0/u11_u4_g2310,XOR2xp5_ASAP7_75t_SL,236.592,112.176,39.52,,
u0/uk_K_r11_reg\[42\],,,,39.52,36.2,-3.32
u0/g29707,AO21x1_ASAP7_75t_SL,181.296,89.496,39.52,,
u2/FE_PHC7227_R5_19,HB4xp67_ASAP7_75t_L,304.2,214.776,39.52,,
u2/u0_u6_g1903,AOI22xp5_ASAP7_75t_SL,260.136,351.936,39.52,39.59,0.07
u2/L7_reg\[32\],,,,39.52,38.37,-1.15
u1/u6_u5_g1885,AOI22xp5_ASAP7_75t_SL,116.712,313.056,39.52,43.18,3.66
u0/g29527,OAI331xp33_ASAP7_75t_SL,181.944,87.336,39.52,,
u1/u9_u6_g1915,XNOR2xp5_ASAP7_75t_SL,189.504,316.296,39.51,43.68,4.17
u1/g15777,NOR2xp33_ASAP7_75t_SL,263.376,209.376,39.51,43.61,4.1
u0/FE_PHC3202_uk_K_r10_4,HB2xp67_ASAP7_75t_SL,207.0,101.376,39.51,,
u0/g18858,XNOR2xp5_ASAP7_75t_SL,235.944,172.656,39.51,,
u2/u5_u4_g2300,NOR2xp33_ASAP7_75t_SL,326.448,233.136,39.51,,
u2/g17083,XNOR2xp5_ASAP7_75t_SL,275.04,199.656,39.51,,
u1/u7_u6_g1878,AO222x2_ASAP7_75t_SL,150.624,318.456,39.51,43.22,3.71
u1/u15_u6_g1931,NOR2xp33_ASAP7_75t_SL,243.288,335.736,39.51,41.89,2.38
u0/u14_u5_g1891,INVx1_ASAP7_75t_SL,218.448,174.816,39.51,41.25,1.74
u2/u7_u6_g1883,OAI221xp5_ASAP7_75t_SL,278.28,194.256,39.51,,
u1/u4_u6_g1934,NOR2xp33_ASAP7_75t_SL,78.264,272.016,39.51,43.86,4.35
u1/R4_reg\[21\],,,,39.51,43.85,4.34
u2/u4_u0_g2086,NOR2xp33_ASAP7_75t_SL,371.376,266.616,39.51,,
u0/g18579,NOR2xp33_ASAP7_75t_SL,168.552,102.456,39.51,,
u0/FE_PHC7991_uk_K_r10_5,HB1xp67_ASAP7_75t_SL,200.304,90.576,39.51,,
u1/u13_u6_g1875,OAI211xp5_ASAP7_75t_SL,228.6,323.856,39.51,43.01,3.5
u1/g16299,NAND2xp5_ASAP7_75t_SL,102.672,135.936,39.51,39.39,-0.12
u1/u13_u5_g1928,NOR2xp33_ASAP7_75t_SL,237.24,330.336,39.51,42.86,3.35
u2/L0_reg\[22\],,,,39.51,37.65,-1.86
u1/u9_u6_g1906,AND2x2_ASAP7_75t_SL,191.448,316.296,39.51,43.78,4.27
u1/FE_PHC1956_R1_25,HB2xp67_ASAP7_75t_SL,76.752,225.576,39.51,43.12,3.61
u2/g16538,INVx1_ASAP7_75t_SL,338.976,241.776,39.51,,
u1/FE_PHC4561_uk_K_r1_14,HB1xp67_ASAP7_75t_SL,78.696,237.456,39.51,43.76,4.25
u2/R7_reg\[21\],,,,39.51,25.76,-13.75
u1/g15855,NOR2xp33_ASAP7_75t_SL,277.848,214.776,39.51,42.92,3.41
u0/u6_u5_g1907,INVx1_ASAP7_75t_SL,160.344,93.816,39.51,,
u0/u12_u4_g2293,NOR2xp33_ASAP7_75t_SL,237.24,132.696,39.51,,
u1/u9_u6_g1903,OAI22xp5_ASAP7_75t_SL,192.744,316.296,39.51,43.58,4.07
u1/g30410,NAND2xp5_ASAP7_75t_SL,236.808,192.096,39.51,43.31,3.8
u1/u9_u6_g1884,OAI31xp33_ASAP7_75t_SL,194.256,316.296,39.5,43.81,4.31
u2/u8_u6_g1931,INVx1_ASAP7_75t_SL,282.6,172.656,39.5,,
u1/g15890,NOR2xp33_ASAP7_75t_SL,264.24,210.456,39.5,43.63,4.13
u1/FE_PHC7865_R0_16,HB3xp67_ASAP7_75t_L,110.016,130.536,39.5,35.21,-4.29
u2/u5_u4_g2273,AOI321xp33_ASAP7_75t_SL,332.928,238.536,39.5,,
u2/u0_u6_g1940,NAND2xp5_ASAP7_75t_SL,263.16,355.176,39.5,39.07,-0.43
u1/g30335,AOI21xp5_ASAP7_75t_SL,235.08,191.016,39.5,43.15,3.65
u2/FE_PHC1915_R6_21,HB1xp67_ASAP7_75t_L,278.28,184.536,39.5,,
u1/FE_PHC2599_uk_K_r2_50,HB2xp67_ASAP7_75t_SL,79.344,273.096,39.5,43.8,4.3
u1/u11_u6_g1855,OAI211xp5_ASAP7_75t_SL,218.232,324.936,39.5,43.92,4.42
u2/u7_u5_g1868,A2O1A1Ixp33_ASAP7_75t_SL,269.856,199.656,39.5,,
u1/u12_u0_g2050,NOR2xp33_ASAP7_75t_SL,257.544,202.896,39.5,43.61,4.11
u1/g15868,INVx1_ASAP7_75t_SL,262.944,205.056,39.5,43.58,4.08
u1/u1_u4_g2289,NOR2xp33_ASAP7_75t_SL,81.072,169.416,39.5,40.08,0.58
u0/uk_K_r10_reg\[24\],,,,39.5,31.93,-7.57
u2/FE_PHC8684_uk_K_r6_29,BUFx2_ASAP7_75t_SL,302.256,195.336,39.5,,
u2/u7_u6_g1922,INVx1_ASAP7_75t_SL,278.928,197.496,39.5,,
u1/u3_u6_g1880,AOI221xp5_ASAP7_75t_SL,76.968,250.416,39.5,43.58,4.08
u0/g16480,OAI321xp33_ASAP7_75t_SL,125.352,121.896,39.5,38.96,-0.54
u2/u0_u7_g2483,AOI211xp5_ASAP7_75t_SL,281.736,374.616,39.5,36.98,-2.52
u2/u8_u6_g1926,INVx1_ASAP7_75t_SL,281.52,173.736,39.5,,
u2/g16005,INVx1_ASAP7_75t_SL,368.784,289.296,39.5,,
u1/u3_u6_g1893,AO22x1_ASAP7_75t_SL,76.32,248.256,39.5,43.64,4.14
u0/g28125,AOI22xp5_ASAP7_75t_L,245.448,140.256,39.5,,
u0/u13_u7_g2179,INVx1_ASAP7_75t_SL,232.488,185.616,39.5,,
u2/FE_PHC3853_R3_10,HB2xp67_ASAP7_75t_L,347.184,250.416,39.5,,
u1/u9_u6_g1879,AOI221xp5_ASAP7_75t_SL,196.416,316.296,39.5,43.78,4.28
u2/u7_u5_g1893,NAND2xp5_ASAP7_75t_SL,267.696,198.576,39.5,,
u2/uk_K_r7_reg\[50\],,,,39.5,37.78,-1.72
u2/u7_u5_g1897,OR2x2_ASAP7_75t_SL,277.2,197.496,39.5,,
u1/u6_u7_g2543,OAI22xp5_ASAP7_75t_SL,135.072,317.376,39.5,43.65,4.15
u1/g11885,AOI22xp5_ASAP7_75t_SL,75.672,208.296,39.49,41.92,2.43
u1/u4_u6_g1932,NOR2xp33_ASAP7_75t_SL,83.016,278.496,39.49,43.27,3.78
u1/u13_u6_g1880,NAND3xp33_ASAP7_75t_SL,232.056,327.096,39.49,43.63,4.14
u1/u5_u6_g1934,NOR2xp33_ASAP7_75t_SL,102.24,301.176,39.49,43.69,4.2
u0/g29606,AOI221xp5_ASAP7_75t_SL,179.136,89.496,39.49,,
u0/FE_PHC5569_uk_K_r11_51,HB1xp67_ASAP7_75t_L,244.584,155.376,39.49,,
u2/u7_u5_g1861,OAI321xp33_ASAP7_75t_SL,270.072,200.736,39.49,,
u1/g30281,AO22x1_ASAP7_75t_SL,238.32,192.096,39.49,43.62,4.13
u2/u7_u7_g2494,O2A1O1Ixp33_ASAP7_75t_SL,274.608,209.376,39.49,,
u1/u5_u7_g2958,INVx1_ASAP7_75t_SL,95.976,290.376,39.49,43.8,4.31
u0/FE_PHC258_R11_2,HB3xp67_ASAP7_75t_L,187.344,110.016,39.49,,
u0/R10_reg\[2\],,,,39.49,23.73,-15.76
u0/FE_PHC6358_L12_27,HB1xp67_ASAP7_75t_SL,234.864,173.736,39.49,,
u1/u5_u6_g1880,AOI221xp5_ASAP7_75t_SL,104.832,302.256,39.49,43.6,4.11
u2/uk_K_r7_reg\[28\],,,,39.49,37.72,-1.77
u0/uk_K_r11_reg\[9\],,,,39.49,36.43,-3.06
u2/u7_u5_g1886,OAI21xp5_ASAP7_75t_SL,271.8,192.096,39.49,,
u0/FE_PHC2876_uk_K_r10_2,HB1xp67_ASAP7_75t_L,245.664,137.016,39.49,,
u0/u6_u5_g1910,NOR2xp33_ASAP7_75t_SL,160.128,94.896,39.48,,
u2/u8_u7_g2535,INVx1_ASAP7_75t_SL,272.016,184.536,39.48,,
u1/u15_u6_g1942,INVx1_ASAP7_75t_SL,243.504,336.816,39.48,41.58,2.1
u0/R10_reg\[31\],,,,39.48,24.04,-15.44
u1/u3_u6_g1889,A2O1A1Ixp33_ASAP7_75t_SL,76.968,252.576,39.48,43.37,3.89
u0/FE_PHC3390_uk_K_r10_23,HB2xp67_ASAP7_75t_SL,241.992,125.136,39.48,,
u2/u7_u5_g1865,OAI321xp33_ASAP7_75t_SL,270.72,195.336,39.48,,
u1/L2_reg\[22\],,,,39.48,43.12,3.64
u2/u4_u0_g2071,OAI22xp5_ASAP7_75t_SL,366.192,262.296,39.48,,
u0/g14116,OR2x2_ASAP7_75t_SL,143.064,104.616,39.48,36.18,-3.3
u0/u11_u0_g2068,NOR2xp33_ASAP7_75t_SL,214.128,95.976,39.48,,
u2/g11206,XNOR2xp5_ASAP7_75t_SL,281.52,180.216,39.48,,
u1/g15742,OAI32xp33_ASAP7_75t_SL,269.424,211.536,39.48,43.57,4.09
u1/u12_u0_g2056,INVx1_ASAP7_75t_SL,252.144,201.816,39.48,43.56,4.08
u1/u12_u0_g2018,NAND2xp5_ASAP7_75t_SL,257.544,201.816,39.48,43.58,4.1
u1/FE_PHC4690_uk_K_r1_36,HB1xp67_ASAP7_75t_SL,78.48,235.296,39.48,39.05,-0.43
u0/FE_PHC4535_uk_K_r13_5,HB2xp67_ASAP7_75t_L,149.112,114.336,39.48,38.1,-1.38
u1/g15576,AOI211xp5_ASAP7_75t_SL,83.016,161.856,39.48,39.68,0.2
u1/FE_PHC6185_uk_K_r3_50,HB1xp67_ASAP7_75t_SL,86.904,283.896,39.48,43.87,4.39
u2/uk_K_r5_reg\[23\],,,,39.48,37.11,-2.37
u2/u7_u7_g2503,OAI21xp5_ASAP7_75t_SL,275.256,207.216,39.48,,
u0/g18859,INVx1_ASAP7_75t_SL,186.264,87.336,39.48,,
u0/g16579,NOR2xp33_ASAP7_75t_SL,140.688,106.776,39.48,36.62,-2.86
u1/u12_u0_g2006,OAI221xp5_ASAP7_75t_SL,254.52,200.736,39.48,43.58,4.1
u0/g29332,AOI22xp5_ASAP7_75t_L,193.392,89.496,39.48,,
u1/g16346,XNOR2xp5_ASAP7_75t_SL,76.752,180.216,39.48,40.31,0.83
u1/u7_u5_g1920,NOR2xp33_ASAP7_75t_SL,145.44,319.536,39.48,42.64,3.16
u2/g16405,OAI211xp5_ASAP7_75t_SL,348.264,250.416,39.48,,
u2/FE_PHC6115_L4_23,HB1xp67_ASAP7_75t_SL,332.064,238.536,39.48,,
u1/u8_u7_g2563,NOR2xp33_ASAP7_75t_SL,170.496,321.696,39.48,44.01,4.53
u2/g16467,AO21x1_ASAP7_75t_SL,341.568,246.096,39.48,,
u1/u4_u6_g1931,NAND2xp5_ASAP7_75t_SL,83.232,280.656,39.47,43.72,4.25
u1/u6_u5_g1910,NAND2xp5_ASAP7_75t_SL,122.112,309.816,39.47,43.41,3.94
u1/g30203,INVx1_ASAP7_75t_SL,249.984,200.736,39.47,43.44,3.97
u0/g29791,OAI21xp5_ASAP7_75t_SL,181.944,77.616,39.47,,
u0/g18628,INVx1_ASAP7_75t_SL,167.688,101.376,39.47,,
u0/g28189,AOI22xp5_ASAP7_75t_L,245.232,139.176,39.47,,
u2/FE_PHC2807_uk_K_r6_50,HB2xp67_ASAP7_75t_SL,293.184,188.856,39.47,,
u2/u5_u4_g2294,AND2x2_ASAP7_75t_SL,332.064,237.456,39.47,,
u0/u11_u4_g2276,AOI332xp33_ASAP7_75t_SL,234.864,110.016,39.47,,
u2/u7_u5_g1890,INVx1_ASAP7_75t_SL,270.72,188.856,39.47,,
u1/u5_u5_g1925,NOR2xp33_ASAP7_75t_SL,99.216,297.936,39.47,43.91,4.44
u2/FE_PHC7009_key_r_11,HB1xp67_ASAP7_75t_SL,278.928,371.376,39.47,37.3,-2.17
u1/u3_u6_g1876,OAI221xp5_ASAP7_75t_SL,76.752,251.496,39.47,43.39,3.92
u1/g16437,AOI22xp5_ASAP7_75t_L,83.016,184.536,39.47,,
u2/R7_reg\[29\],,,,39.47,26.03,-13.44
u1/u1_u0_g2044,OA331x1_ASAP7_75t_SL,86.04,156.456,39.47,39.15,-0.32
u2/u7_u7_g2527,INVx1_ASAP7_75t_SL,277.2,211.536,39.47,,
u1/R1_reg\[22\],,,,39.47,43.2,3.73
u2/g13760,AOI22xp5_ASAP7_75t_SL,299.016,189.936,39.47,,
key_c_r_reg\[27\]\[12\],,,,39.47,44.16,4.69
u1/u5_u5_g1880,AO32x1_ASAP7_75t_SL,99.216,299.016,39.47,43.9,4.43
u2/u7_u5_g1889,NAND3xp33_ASAP7_75t_SL,269.208,191.016,39.47,,
u1/u7_u5_g1936,INVx1_ASAP7_75t_SL,146.52,319.536,39.47,41.62,2.15
u0/u5_u6_g1901,NOR2xp33_ASAP7_75t_SL,145.656,102.456,39.47,,
u1/FE_PHC6980_R0_19,HB2xp67_ASAP7_75t_SL,78.264,174.816,39.47,,
u1/g30295,OAI221xp5_ASAP7_75t_SL,236.808,191.016,39.47,43.6,4.13
u0/g29889,NOR2xp33_ASAP7_75t_SL,183.024,77.616,39.47,,
u0/g14688,AOI211xp5_ASAP7_75t_SL,187.56,89.496,39.47,,
u1/u9_u6_g1926,NAND2xp5_ASAP7_75t_SL,198.36,316.296,39.47,43.6,4.13
u1/u12_u0_g2021,AOI22xp5_ASAP7_75t_SL,260.568,203.976,39.46,43.56,4.1
u1/u11_u6_g1913,INVx1_ASAP7_75t_SL,226.656,324.936,39.46,43.87,4.41
u2/u7_u5_g1888,OAI22xp5_ASAP7_75t_SL,274.824,193.176,39.46,,
u1/u1_u4_g2297,AO21x1_ASAP7_75t_SL,87.984,164.016,39.46,40.6,1.14
u1/g29450,AOI22xp5_ASAP7_75t_SL,76.968,242.856,39.46,43.58,4.12
u1/u12_u0_g1988,OA211x2_ASAP7_75t_SL,251.928,198.576,39.46,43.56,4.1
u2/u5_u6_g1866,AOI311xp33_ASAP7_75t_SL,326.016,232.056,39.46,,
u1/u6_u7_g2548,OAI22xp5_ASAP7_75t_SL,128.16,316.296,39.46,43.39,3.93
u1/uk_K_r2_reg\[31\],,,,39.46,43.28,3.82
u1/u7_u6_g1915,INVx1_ASAP7_75t_SL,159.48,320.616,39.46,44.02,4.56
u0/u11_u0_g2028,OAI33xp33_ASAP7_75t_SL,217.368,97.056,39.46,,
u0/u13_u7_g2122,AOI322xp5_ASAP7_75t_SL,231.624,181.296,39.46,,
u1/g15664,AOI22xp5_ASAP7_75t_L,75.888,214.776,39.46,42.78,3.32
u1/uk_K_r1_reg\[14\],,,,39.46,41.63,2.17
key_c_r_reg\[22\]\[12\],,,,39.46,43.43,3.97
u2/g16488,NOR2xp33_ASAP7_75t_SL,338.328,240.696,39.46,,
u1/u8_u7_g2535,OAI22xp5_ASAP7_75t_SL,168.12,321.696,39.46,44.0,4.54
u1/u7_u5_g1885,A2O1A1Ixp33_ASAP7_75t_SL,143.928,319.536,39.46,43.52,4.06
u2/key_r_reg\[11\],,,,39.46,37.44,-2.02
u1/u15_u6_g1891,AOI22xp5_ASAP7_75t_SL,246.96,341.136,39.46,40.37,0.91
u0/u11_u4_g2300,NOR2xp33_ASAP7_75t_SL,239.4,118.656,39.46,,
u2/g11209,XNOR2xp5_ASAP7_75t_SL,286.704,180.216,39.46,,
u1/g15407,XNOR2xp5_ASAP7_75t_SL,85.824,208.296,39.46,42.88,3.42
u1/FE_PHC2768_R5_29,HB1xp67_ASAP7_75t_SL,136.368,311.976,39.46,43.91,4.45
u0/u13_u7_g2158,INVx1_ASAP7_75t_SL,227.088,178.056,39.46,,
u0/g29726,XNOR2xp5_ASAP7_75t_SL,181.728,95.976,39.46,,
u2/R7_reg\[19\],,,,39.46,25.97,-13.49
u0/R10_reg\[9\],,,,39.46,23.28,-16.18
