signal_name,scope,width,x_um,y_um,source_type,cell_type
FE_OFN77_n_0,test.u0.u2,1,289.08,191.016,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN78_n_0,test.u0.u2,1,354.96,189.936,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN79_n_0,test.u0.u2,1,307.656,245.016,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN7_FE_DBTN0_n_57,test.u0.u1,1,154.728,225.576,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN80_n_0,test.u0.u2,1,297.936,336.816,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN81_n_1671,test.u0.u2,1,317.16,60.336,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN82_n_1671,test.u0.u2,1,293.832,56.016,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN83_n_1671,test.u0.u2,1,308.952,113.256,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN84_n_1671,test.u0.u2,1,285.624,112.176,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN85_n_1671,test.u0.u2,1,319.536,64.656,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN86_n_1671,test.u0.u2,1,349.992,266.616,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN87_n_1671,test.u0.u2,1,315.216,283.896,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN88_n_0,test.u0,1,11.088,149.976,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN89_n_2074,test.u0.u0,1,108.72,99.216,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN8_FE_DBTN0_n_57,test.u0.u1,1,78.696,179.136,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN9_FE_DBTN0_n_57,test.u0.u1,1,207.216,289.296,net_driver,BUFx2_ASAP7_75t_SL
FE_PHN1000_key_c_r_18_49,test.u0,1,85.824,371.376,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1001_key_b_r_1_32,test.u0,1,15.624,233.136,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1002_key_c_r_10_0,test.u0,1,67.032,288.216,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1003_stage2_out_59,test.u0.u2,1,248.688,365.976,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1004_uk_K_r10_44,test.u0.u2,1,288.216,38.736,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1005_key_c_r_24_46,test.u0,1,129.888,351.936,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1006_stage1_out_15,test.u0.u0,1,137.664,141.336,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1007_key_b_r_16_23,test.u0,1,52.56,195.336,net_driver,DFFHQx4_ASAP7_75t_SL
